hostname,st_spectype,st_mass,st_teff,st_rad,st_lum,st_logg,st_met,sy_dist
"Kepler-1159",,1.090000,6168.00,1.000000,,4.470000,,1213.71000000
"WASP-28",,1.160000,6134.00,1.113820,0.19930,4.408900,-0.1200,348.49400000
"WASP-28","F8",1.021000,6150.00,1.094000,,4.370000,-0.2900,348.49400000
"TOI-6692",,1.120000,6047.00,1.366810,0.35227,4.215870,,312.90300000
"WASP-6",,0.820000,5383.00,0.860000,,4.520000,-0.1400,197.11900000
"HATS-6",,0.585471,3749.00,0.596801,-1.19798,4.653910,,169.31800000
"Kepler-1301",,0.850000,5188.00,0.810000,,4.560000,0.0100,854.28000000
"Kepler-576",,0.830000,5447.00,0.950000,,4.400000,,617.55000000
"Kepler-784",,0.980000,5576.00,2.873890,0.85693,3.512350,,1303.72000000
"Kepler-78",,0.779000,5121.00,0.747500,,4.610000,-0.0800,124.37600000
"TOI-5726",,1.060000,5874.00,1.106000,,,,108.84800000
"Kepler-134",,1.263000,6068.00,1.533000,,4.167000,0.2200,334.79700000
"K2-30","G8 V",0.984000,5581.00,0.941000,-0.11200,4.484000,0.1360,333.04200000
"Kepler-423","G4 V",0.850000,5560.00,0.950000,,4.410000,-0.1000,758.75300000
"HAT-P-15",,1.020000,5620.00,1.092000,0.03019,4.371000,0.2370,192.51600000
"Kepler-107",,1.142000,5851.00,1.411000,,4.192000,0.2700,525.99700000
"Kepler-235",,0.640000,4074.00,0.635754,-0.99864,4.637670,,428.01800000
"TOI-3877",,1.160000,5731.00,1.445000,0.30750,4.181000,0.2690,493.77000000
"Kepler-1987",,0.778000,4750.00,0.729000,,4.603000,0.1200,595.68300000
"HAT-P-29","F8",1.207000,6087.00,1.224000,0.26500,4.340000,0.2100,313.57600000
"WASP-75",,1.140000,6100.00,1.260000,,,0.0700,294.00100000
"HD 167042",,1.630000,5028.00,,,3.350000,0.0300,49.66330000
"NGTS-23","F9 V",1.010000,6057.00,1.240000,0.28330,4.040000,-0.2600,1074.95000000
"TrES-3",,0.962000,5489.00,0.820181,-0.25951,4.593420,-0.2400,231.33700000
"HD 209458",,1.000000,6092.00,1.203000,0.25200,4.280000,0.0000,48.30160000
"HD 2952",,1.970000,4844.00,10.760000,,2.670000,0.0000,110.10300000
"Kepler-1869",,1.122000,5803.00,1.940000,,3.910000,,113.02500000
"Kepler-239",,0.801000,4980.00,0.734000,,4.608000,-0.0400,648.10900000
"TOI-4994",,1.005000,5640.00,1.055000,0.00860,4.393000,0.1650,329.30400000
"K2-167",,1.016265,5908.00,1.829853,,3.880000,-0.4500,80.89940000
"Kepler-311",,0.970000,5897.00,1.081000,,4.357000,-0.1000,778.65400000
"TOI-1634","M2",0.502000,3550.00,0.450000,-1.53910,4.833000,0.2300,35.27360000
"Kepler-1365",,0.946000,5727.00,1.104000,,4.328000,0.0000,840.12800000
"Wolf 503",,0.688000,4716.00,0.689000,,,-0.4700,44.52600000
"Kepler-1487",,1.035000,6444.00,0.956000,,4.492000,-0.5000,1014.62000000
"TrES-2",,1.057000,5854.00,1.016130,0.03841,4.448240,-0.0300,215.32000000
"Kepler-563",,0.771000,5157.00,0.818000,,4.500000,-0.0800,565.20700000
"WASP-77 A","G8 V",1.002000,5500.00,0.955000,,4.330000,0.0000,105.16600000
"XO-3",,1.449000,6970.00,1.523000,0.69197,4.234000,-0.1590,213.05300000
"HR 8799",,1.610000,7204.58,1.493380,0.73347,4.296560,,41.24410000
"Kepler-54",,0.518000,3853.90,0.522000,,,,271.70100000
"Kepler-1744",,0.886000,5986.00,0.850000,,4.527000,-0.5000,1091.63000000
"Kepler-1982",,1.310000,6451.00,1.227670,0.37137,4.377180,,558.85500000
"HD 120084","G7 III",2.150000,4892.00,,,2.710000,0.0900,103.04400000
"TOI-5799",,0.327000,3521.00,0.343000,,,,27.81230000
"TOI-5340",,1.350000,5990.00,1.842000,0.59550,4.036000,0.2080,532.62900000
"Kepler-1992",,0.821000,5466.00,0.946000,,4.401000,-0.1200,532.95500000
"HAT-P-16 C",,0.686000,4389.00,0.703688,-0.78108,4.579630,,219.43900000
"Kepler-1474",,1.118000,6057.00,1.147000,,4.367000,0.1000,1180.90000000
"Kepler-517",,0.857000,5598.00,1.063000,,4.318000,-0.1200,289.90700000
"Kepler-902",,0.918000,5509.00,1.169000,,4.265000,0.1400,1165.34000000
"Kepler-139",,1.084000,5622.00,1.180000,,4.330000,,391.03800000
"Kepler-1518",,1.060000,6432.00,1.345000,,4.207000,-0.3400,903.51000000
"Kepler-1008",,0.850000,5066.94,0.724115,-0.50671,4.647870,0.0450,282.56500000
"Kepler-1961",,0.859000,5396.00,0.766000,,4.599000,-0.2000,1042.45000000
"Kepler-1962",,0.931000,5931.00,0.930000,,4.470000,-0.2800,866.82600000
"Kepler-9",,1.024000,5788.00,0.971000,,,0.0800,628.25700000
"Kepler-1684",,0.672000,4505.00,0.666000,,4.620000,-0.1000,621.99600000
"Kepler-1527",,0.991000,6075.00,0.916000,,4.510000,-0.2800,1842.13000000
"Kepler-181",,0.840000,5324.00,0.761000,,4.597000,-0.1800,609.28300000
"K2-155",,0.600000,3893.47,0.655766,-1.05046,4.582720,-0.8310,72.79980000
"HAT-P-2",,1.279000,6290.00,1.680000,,4.092000,0.1400,127.77400000
"CoRoT-30","G3 V",0.980000,5650.00,0.910000,,4.400000,0.0200,1032.23000000
"Kepler-409",,0.941000,5416.00,0.896000,,,0.1200,68.17300000
"Kepler-809",,1.050000,5949.00,0.962000,,4.493000,0.0000,961.40500000
"K2-36",,0.760000,4836.00,0.717000,,4.550000,0.0000,109.74900000
"TOI-5788",,0.870000,5615.00,0.870000,-0.14752,4.420000,-0.3200,97.61400000
"Kepler-1515",,1.303000,6471.00,1.357000,,4.287000,0.1600,539.32100000
"Kepler-746",,0.910000,5418.00,0.930000,,4.460000,0.0900,
"Kepler-330",,0.780000,4970.00,0.690000,,4.650000,,717.52700000
"Kepler-129",,1.197000,5770.00,1.641000,,4.082000,0.2900,408.84500000
"Kepler-131",,1.076000,5787.00,0.999000,,,0.1900,228.67800000
"HD 224693","G2 IV",1.330000,6037.00,1.700000,,4.380000,0.3430,93.50150000
"Kepler-40",,1.516000,6490.00,2.179000,,3.942000,0.0800,2305.01000000
"Kepler-76",,1.200000,6409.00,1.320000,,,-0.1000,822.96000000
"Kepler-1638",,0.773000,5906.00,0.850000,,4.467000,-0.7600,1525.52000000
"Kepler-1144",,1.010000,5695.00,1.095690,0.05604,4.363020,,1140.57000000
"Kepler-411",,0.822000,4920.00,0.720000,,4.620000,0.0700,153.67600000
"Kepler-356",,1.130000,6310.00,1.190000,,4.340000,,707.55900000
"TOI-1346",,0.820000,5099.00,0.780000,,4.610000,-0.0100,115.45000000
"KELT-7","F",1.535000,6789.00,1.732000,0.75800,4.149000,0.1390,136.68100000
"Kepler-17",,1.160000,5781.00,1.050000,,,0.2600,720.75300000
"WASP-4",,0.927000,5540.00,0.910000,,4.487000,-0.0300,267.20600000
"Kepler-1162",,0.910000,5540.00,0.800000,,4.590000,,940.21100000
"K2-263",,0.929000,5363.73,0.878652,-0.23980,4.518450,-0.0070,162.48100000
"TOI-4504",,0.900000,5271.00,0.960919,-0.19236,4.426940,,342.60500000
"Kepler-1977",,0.769000,4805.00,0.688000,,4.633000,-0.0600,592.71100000
"Kepler-656",,0.870000,5139.72,0.894243,-0.29864,4.474680,0.2720,890.35200000
"Kepler-697",,0.953000,5576.00,0.852000,,4.556000,0.0200,1277.33000000
"TOI-2094",,0.365046,3457.00,0.376775,-1.73834,4.848250,,50.02480000
"Kepler-416",,0.999000,5977.00,1.075000,,4.375000,-0.1000,690.81900000
"Kepler-107",,1.215000,5866.00,1.439000,,,0.3200,525.99700000
"WASP-18",,1.274000,6455.00,1.228000,,4.365000,0.0000,123.48300000
"WASP-6",,0.836000,5375.00,0.864000,,4.487000,-0.1500,197.11900000
"KELT-20",,2.282000,9032.00,1.617440,1.19549,4.378730,,136.42600000
"XO-2 S",,0.982000,5399.00,1.020000,,4.430000,0.3900,151.39800000
"HD 154672",,1.180000,5743.00,1.320000,,4.270000,0.2500,63.04840000
"Kepler-883",,0.860000,5954.00,1.250000,,,-0.4300,627.45500000
"Kepler-413",,0.820000,4700.00,0.776100,,4.572100,-0.2000,847.53600000
"Kapteyn",,0.281000,3550.00,0.291000,,,-0.8900,3.93305000
"Kepler-1863",,0.920000,5864.00,1.150000,,4.280000,,865.54600000
"Kepler-1379",,0.830000,5188.00,0.790000,,4.570000,-0.0400,971.32500000
"HD 13931",,1.015973,5805.45,1.301756,,4.214937,0.0406,47.39630000
"Kepler-418",,1.039000,6177.00,1.043000,,4.420000,-0.1400,1002.53000000
"HD 4208",,0.860000,5626.00,,,4.490000,-0.2400,34.19370000
"HD 100655",,2.030000,4891.00,8.891000,,2.790000,0.0700,137.17800000
"TOI-5786",,1.230000,6235.00,1.360000,,4.260000,0.0800,192.47500000
"Kepler-525",,1.034000,5536.00,1.500000,,4.100000,,992.85200000
"K2-131",,0.793000,5200.00,0.744000,,4.620000,-0.0200,152.50900000
"Kepler-505",,0.547000,4057.00,0.523000,,4.740000,,283.41000000
"KELT-24",,1.460000,6509.00,1.506000,0.56467,4.247000,0.1860,96.51730000
"HD 181342",,2.250000,5005.00,5.090000,,3.380000,0.2100,120.39100000
"Kepler-411",,0.830000,4974.00,0.790000,-0.50900,4.540000,0.2300,153.67600000
"HD 3167","K0 V",0.860000,5261.00,0.860000,,4.470000,0.0400,47.28990000
"Kepler-323",,1.123000,6277.00,1.378000,,4.211000,-0.0600,454.88300000
"Kepler-513",,0.900000,5748.00,1.079000,,,-0.1100,468.25800000
"Kepler-32",,0.566000,3801.00,0.529000,-1.29243,,,323.84700000
"HD 212301",,1.270000,6256.00,,0.24304,4.520000,0.1800,54.23040000
"K2-9",,0.240000,3468.00,0.250000,,,-0.4600,82.96310000
"Kepler-1715",,1.106000,6210.00,1.100000,,4.400000,-0.0200,522.60500000
"Kepler-222",,0.880000,5295.00,0.840000,,4.540000,0.0500,758.85400000
"Kepler-1005",,1.032000,6057.00,1.040000,,4.410000,,567.80600000
"Kepler-980",,1.050000,5935.00,1.060000,,4.410000,0.0100,961.46800000
"Kepler-79",,1.084000,6388.00,1.037000,,4.442000,-0.2800,1020.72000000
"Kepler-483",,1.109000,6543.00,1.090000,,4.408000,-0.3400,860.35500000
"Kepler-238",,1.056000,5858.00,0.963000,,4.495000,0.1000,1798.75000000
"Kepler-374",,0.891000,5975.00,0.900000,,4.480000,-0.4400,1265.61000000
"Kepler-1859",,1.025000,6190.00,1.068000,,4.393000,-0.1600,1331.25000000
"Kepler-1979",,1.028000,5942.00,0.938000,,4.506000,-0.0600,1076.27000000
"Kepler-352",,0.836000,5238.00,0.752000,,4.603000,-0.1600,252.73300000
"Kepler-865",,0.782000,5440.00,0.885000,,4.438000,-0.2400,586.13700000
"Kepler-1518",,1.060000,6432.00,1.345000,,4.207000,-0.3400,903.51000000
"TOI-4406",,1.190000,6219.00,1.290000,0.36173,4.290000,0.1000,261.83400000
"Kepler-103",,1.212000,6009.00,1.492000,,,0.1600,494.83200000
"Kepler-487",,0.903000,5700.00,0.870000,,4.515000,-0.1800,872.34300000
"HD 16905",,0.790000,4866.12,0.774940,-0.51804,4.557160,0.2405,39.74010000
"HIP 67851","K0 III",1.190000,4807.00,5.720000,1.20000,3.020000,-0.0700,64.11810000
"TOI-5688 A",,0.600000,3713.00,0.570000,-1.22841,4.690000,0.4700,226.31800000
"TOI-4559",,0.421338,3476.00,0.426767,-1.62060,4.802320,,31.63540000
"Kepler-1240",,0.969000,5688.00,1.111000,,4.333000,0.1000,862.18600000
"Kepler-1041",,1.043000,6106.00,0.966000,,4.487000,-0.1600,1485.82000000
"Kepler-1318",,0.730000,4598.00,0.700000,,4.620000,-0.0100,475.24800000
"TOI-715",,0.199363,3187.00,0.229824,-2.30899,5.014920,,42.40480000
"TOI-3071",,1.230000,6296.00,1.357870,0.41667,4.262260,,485.21900000
"Kepler-1169",,1.040000,5934.00,1.180000,,4.310000,,522.82300000
"Kepler-1698",,0.717000,5019.00,0.747000,,4.546000,-0.2200,222.34500000
"Kepler-1094",,1.140000,6112.00,1.210000,,4.330000,0.0600,1291.01000000
"Kepler-1991",,0.914000,5478.00,1.053000,,4.354000,0.1600,855.82000000
"TOI-2084","M2+/-0.5",0.453000,3551.00,0.475000,-1.49214,4.750000,-0.1300,114.54900000
"TOI-2986",,1.090000,5940.66,1.491690,0.39739,4.128130,0.1460,563.14900000
"HD 93083","K3V",0.790000,5050.00,0.830000,-0.39800,,,28.51590000
"TOI-715","M4",0.225000,3075.00,0.240000,,5.000000,-0.2500,42.40480000
"AB Pic",,0.840000,5027.00,1.018730,-0.22396,4.346230,,50.04750000
"TOI-3819",,1.110000,5999.00,1.558590,0.45247,4.097930,,558.14100000
"Kepler-534",,1.075000,5936.00,0.965000,,4.501000,0.0700,570.65900000
"Kepler-454",,1.060000,5767.00,1.070000,,4.400000,0.2400,230.86900000
"Kepler-1814",,0.825000,4958.00,0.754000,,,0.1300,726.34600000
"Kepler-975",,0.951000,4883.00,1.667000,,3.972000,0.5600,426.08800000
"Kepler-1987",,0.740000,4601.00,0.670000,,4.660000,,595.68300000
"Kepler-1834",,0.716000,4894.00,0.701000,,4.602000,-0.2200,500.39500000
"K2-122",,0.599280,3807.00,0.613895,-1.14679,4.639510,,72.04440000
"Kepler-188",,0.989000,6020.00,1.093000,,4.356000,-0.1400,968.54400000
"Kepler-1936",,1.419000,6501.00,1.854000,,4.054000,0.1000,871.09600000
"TOI-1693",,0.490000,3499.00,0.460000,,4.800000,,30.79470000
"Kepler-651",,0.920000,5522.00,0.870000,,4.530000,-0.0400,509.40800000
"WASP-11",,0.806000,4900.00,0.772000,,,0.1200,124.73000000
"XO-2 N",,0.960000,5332.00,0.998000,,,0.4300,154.27300000
"Kepler-769",,1.100000,5983.00,1.143830,0.17910,4.362740,,1169.57000000
"K2-157","G9 V",0.890000,5334.00,0.860000,,4.450000,0.0200,298.37300000
"Kepler-621",,0.575000,3939.00,0.557000,,4.705000,-0.0400,
"Kepler-1189",,0.980000,5572.03,1.124760,0.04086,4.327180,0.3639,782.85200000
"Kepler-798",,1.160000,6428.00,1.156000,,4.377000,-0.1000,972.27400000
"K2-318",,0.561000,3851.00,0.552000,,4.701000,,147.86600000
"Kepler-106",,1.000000,5858.00,1.040000,,4.407000,-0.1200,444.32200000
"Kepler-394",,1.170000,6392.00,1.100000,,4.420000,,1058.72000000
"Kepler-149",,0.909000,5363.00,1.580000,,4.000000,,571.03400000
"HD 30856",,1.350000,4982.00,4.200000,0.99564,3.400000,-0.0600,131.19900000
"Kepler-991",,0.510000,4230.00,0.490000,,4.770000,,389.56100000
"Kepler-289",,1.158000,6279.00,1.598000,,4.095000,-0.0800,704.43800000
"HATS-42",,1.190000,6208.00,1.265260,0.33086,4.309260,,800.37700000
"Kepler-1882",,1.104000,5704.00,1.319000,,,0.3200,443.37100000
"Kepler-1371",,0.839000,5260.00,0.954000,,,-0.0700,515.33400000
"Kepler-235",,0.590000,4097.00,0.560000,,4.720000,,428.01800000
"XO-1",,1.023000,5729.00,0.919086,-0.08628,4.521230,-0.0800,163.55300000
"Kepler-290",,0.798000,5115.00,0.700000,,4.650000,,694.62700000
"TOI-4527",,0.483997,3702.00,0.485948,-1.39838,4.749730,,18.10370000
"Kepler-428",,0.830000,5003.05,0.783768,-0.45999,4.568770,0.3180,686.28400000
"WASP-36",,1.081000,5959.00,0.985000,,4.486000,-0.2600,386.34600000
"WASP-32",,0.720000,6140.00,0.950000,,4.400000,-0.1300,275.99400000
"WASP-1",,1.153000,6116.00,1.564190,0.48914,4.111320,0.2100,393.07200000
"GJ 3090",,0.515356,3639.00,0.517786,-1.37308,4.721870,,22.47510000
"Kepler-1997",,1.096000,6197.00,1.035000,,4.449000,-0.0800,1502.34000000
"Kepler-311",,0.970000,5897.00,1.081000,,4.357000,-0.1000,778.65400000
"Kepler-411",,0.820000,4977.00,0.760000,,4.590000,,153.67600000
"Kepler-956",,1.080000,5921.42,1.008890,0.05208,4.463810,0.0545,544.93900000
"LTT 3780","M3.5 V",0.379000,3360.00,0.382000,-1.77728,4.810000,0.0900,21.98140000
"HAT-P-8",,1.180000,6550.00,0.740000,,4.800000,0.0700,211.55300000
"HD 149026",,1.420000,6179.00,1.410000,,4.370000,0.3200,75.86430000
"TOI-3688 A",,1.199000,5950.00,1.302000,0.28330,4.288000,0.2620,396.37800000
"Teegarden's Star",,0.097000,3034.00,0.120000,-3.14146,5.190000,-0.1100,3.83078000
"HD 149026","G0",1.300000,6084.00,1.500000,0.44000,,0.3600,75.86430000
"WASP-28","F8",1.011000,6084.00,1.123000,,4.342000,-0.2000,348.49400000
"WASP-64 A",,1.040000,5794.00,1.835670,0.53420,3.927510,,365.60500000
"TOI-4603",,1.176000,6169.06,2.680750,0.97208,3.651960,0.2870,225.64300000
"Kepler-164",,1.076000,6353.00,1.139000,,4.359000,-0.1400,890.75800000
"CoRoT-36","F3 V",1.320000,6730.00,1.520000,,4.160000,-0.1000,925.95800000
"Kepler-1461",,0.773000,4986.00,0.723000,,4.607000,-0.1200,679.10600000
"Kepler-1601",,1.032000,5991.00,1.092000,,4.375000,-0.0200,644.45600000
"Kepler-358",,0.960000,5496.97,0.940506,-0.13809,4.473620,0.0350,1101.10000000
"Kepler-1808",,0.773000,5530.00,0.892000,,4.425000,-0.3400,1022.01000000
"HAT-P-1",,1.151000,5980.00,1.174000,,4.359000,0.1300,158.97900000
"HD 209458",,1.030000,6025.00,1.150000,,,,48.30160000
"Qatar-2",,0.743000,4645.00,0.776000,,,0.0200,181.37400000
"Kepler-1515",,1.235000,6339.00,1.545000,,,-0.0300,539.32100000
"HAT-P-30",,1.170000,6338.00,1.000000,,4.520000,0.1200,213.98500000
"Kepler-1521",,0.824000,4981.13,0.697343,-0.56910,4.667100,0.0918,206.98300000
"Kepler-1479",,1.019000,6003.00,0.932000,,4.507000,-0.1400,728.66800000
"Kepler-18",,0.882000,5356.00,1.055000,,4.338000,0.2000,433.04700000
"Kepler-554",,0.920000,5344.00,1.018900,-0.11758,4.385590,,690.52500000
"Kepler-1286",,1.000000,5753.00,0.980000,,4.450000,0.0300,1354.46000000
"Kepler-48",,0.883000,5190.00,0.888000,,4.490000,,306.73800000
"Kepler-1197",,0.760000,4606.00,0.760000,,4.560000,,486.94000000
"Wendelstein-2",,0.680000,4355.00,0.740712,-0.75005,4.531280,,565.54100000
"Kepler-361",,1.064000,6327.00,1.175000,,4.327000,-0.1400,930.32000000
"Kepler-1324",,0.796000,4827.00,0.823000,,4.508000,0.3200,481.66700000
"Kepler-33",,1.100000,5900.00,1.694000,,4.022000,0.0000,1209.16000000
"Kepler-109",,1.039000,5952.00,1.323000,,4.212000,-0.0800,474.86100000
"Kepler-311",,0.994000,5897.00,1.139000,,,-0.0300,778.65400000
"Kepler-297",,1.070000,6138.00,1.040000,,4.430000,,692.14000000
"HD 104067","K2V",0.830000,4956.00,0.770000,-0.46900,4.600000,0.1000,20.36320000
"Kepler-44",,1.120000,5800.00,1.350000,,,0.1500,1188.00000000
"K2-188",,1.060000,5977.00,1.190000,,4.310000,-0.0100,446.82100000
"Kepler-988",,0.559000,4121.00,0.533000,,4.730000,,304.88900000
"Kepler-54",,0.490000,3726.00,0.470000,,4.784000,-0.1200,271.70100000
"K2-19",,0.880000,5322.00,0.820000,,4.510000,0.0600,289.82700000
"HATS-2",,0.825000,4985.00,0.931471,-0.31631,4.416180,,341.92500000
"Kepler-294",,1.032000,5910.00,0.940000,,4.505000,-0.0200,1357.01000000
"55 Cnc B",,0.264823,3187.00,0.289624,-2.10811,4.937350,,12.47730000
"TOI-544",,0.660000,4220.00,0.663414,-0.90049,4.614040,,41.11660000
"Kepler-975",,0.951000,4883.00,1.667000,,3.972000,0.5600,426.08800000
"Kepler-107",,1.183000,5949.00,1.180000,,4.370000,,525.99700000
"HD 181433",,0.810000,4929.63,0.810841,-0.45618,4.528680,0.4012,26.87620000
"Kepler-93",,0.909000,5669.00,0.921000,,4.466000,-0.1800,95.91150000
"HD 12661",,1.070000,5754.00,1.096000,,4.430000,0.2900,37.84780000
"HAT-P-3",,0.890000,5224.00,0.821721,-0.34384,4.558010,0.4100,134.55400000
"HAT-P-2",,1.308000,6290.00,1.506000,0.50515,4.199000,0.1200,127.77400000
"WASP-13",,0.720000,5950.00,1.370000,,4.060000,0.0000,227.53700000
"Kepler-80",,0.584000,4041.00,0.567000,,4.697000,-0.1400,369.45100000
"Kepler-1496",,1.096000,6197.00,1.035000,,4.449000,-0.0800,1307.66000000
"TOI-2989","K4 V",0.770000,4672.00,0.760000,-0.73755,4.580000,-0.0400,195.79500000
"Kepler-1939",,0.643000,4358.00,0.620000,,4.662000,-0.1800,189.83300000
"WASP-17","F4",1.200000,6650.00,1.579000,,4.450000,-0.1900,405.90800000
"Kepler-1373",,1.250000,6336.00,2.022140,0.77358,3.923360,,1699.46000000
"Kepler-378",,0.971000,4799.00,1.818000,,3.906000,0.5600,152.09400000
"Kepler-949",,0.853000,5088.18,0.773940,-0.44164,4.591600,-0.0390,486.10500000
"Kepler-84",,1.020000,6013.00,1.030000,,4.420000,,1023.90000000
"TrES-3",,0.880000,5502.00,0.970000,,4.440000,-0.1000,231.33700000
"CoRoT-2",,1.018000,5696.00,0.907000,,4.530000,0.0300,213.28300000
"Kepler-588",,1.075000,6115.00,0.980000,,4.490000,,1209.40000000
"K2-81",,0.697000,4530.00,0.631000,,4.668000,,252.31800000
"Kepler-1860",,0.925000,5603.00,0.820000,,4.580000,,438.70300000
"Kepler-1682",,0.920000,5571.00,0.910000,,4.490000,,1159.85000000
"Kepler-645",,1.070000,6449.00,1.273000,,4.259000,-0.2800,1173.57000000
"Kepler-1419",,1.006000,5911.00,0.914000,,4.519000,-0.1000,1498.58000000
"Kepler-1503",,0.770000,4789.85,1.230330,-0.14398,4.144520,-0.1541,1225.57000000
"Kepler-1756",,0.718000,4931.00,0.710000,,4.590000,,
"Kepler-1574",,1.132000,6108.00,1.030000,,4.466000,0.0700,1384.16000000
"Kepler-705",,0.548441,3631.00,0.553555,-1.31888,4.690880,,276.88100000
"Kepler-234",,1.090000,6157.00,1.000000,,4.480000,,1733.10000000
"Kepler-948",,0.906000,5798.00,0.920000,,4.468000,-0.2200,868.01700000
"HD 75784",,1.330000,4917.00,3.170000,,3.560000,0.2500,85.43210000
"Kepler-736",,0.850000,5093.00,0.858585,-0.34984,4.499920,,1005.43000000
"Kepler-1222",,0.752000,5166.00,0.678000,,4.650000,-0.4200,415.21800000
"Kepler-1446",,0.970000,4854.00,1.749000,,3.939000,0.5600,152.07500000
"Kepler-402",,1.140000,6522.00,1.215000,,4.325000,-0.2200,625.33900000
"Kepler-269",,1.016000,5831.00,0.921000,,4.517000,0.0000,2257.32000000
"Kepler-164",,1.140000,6095.00,1.021320,0.11291,4.476650,,890.75800000
"GJ 581",,0.318714,3490.39,0.315254,,4.942397,-0.0881,6.29810000
"HD 28185",,1.020000,5662.00,1.030000,,4.420000,0.2300,39.38090000
"TOI-2031 B",,0.218965,3371.00,0.248246,-2.14451,4.988680,,282.78500000
"Kepler-68",,1.079000,5793.00,1.243000,,4.282000,0.1200,144.16600000
"TOI-2458",,1.143000,6092.00,1.329750,0.34128,4.248570,,112.95800000
"Kepler-247",,0.810000,4929.00,0.843936,-0.42165,4.493930,,663.71100000
"Kepler-169",,0.850000,5173.00,0.939000,,4.422000,0.2600,406.52900000
"Kepler-435",,0.961000,6293.00,1.087000,,4.348000,-0.4600,1418.77000000
"Kepler-619",,1.040000,5807.76,0.943241,-0.04002,4.505860,0.0470,900.67800000
"HATS-44",,0.860000,5080.00,0.847000,-0.39794,4.514000,0.3200,446.03500000
"HAT-P-26","K1",0.816000,5079.00,0.788000,-0.42000,4.560000,-0.0400,141.83700000
"Kepler-389",,0.823000,5380.00,0.785000,,4.564000,-0.2000,816.55900000
"Kepler-914",,1.040000,5782.74,1.320440,0.24467,4.213660,0.2530,753.72300000
"Kepler-1379",,0.856000,5260.00,0.778000,,4.587000,-0.0600,971.32500000
"Kepler-1172",,0.996000,5806.00,0.899000,,4.528000,-0.0400,1306.53000000
"Kepler-1358",,0.796000,5318.00,0.860000,,4.470000,,546.99800000
"Kepler-215",,0.920000,5677.00,0.828000,,4.563000,-0.1800,485.99700000
"Kepler-200",,0.980000,5773.00,0.950000,,4.470000,-0.0700,665.91200000
"Kepler-168",,1.089000,6251.00,1.119000,,4.378000,-0.0600,1343.60000000
"Kepler-392",,0.910000,5767.00,1.135000,,4.287000,-0.1400,681.42800000
"Kepler-1132",,0.750000,5175.00,0.660000,,4.680000,,867.93100000
"Kepler-1816",,0.750000,4969.00,0.660000,,4.670000,,437.82300000
"Kepler-1455",,0.548000,3894.00,0.541000,,4.710000,-0.1000,357.62100000
"TOI-5542",,0.940000,5392.90,1.269290,0.08911,4.204070,-0.1800,348.84900000
"PH2",,1.007000,6007.00,1.124000,,4.340000,-0.0800,343.86300000
"Kepler-31",,1.110000,6011.20,1.304360,0.30134,4.252590,-0.1314,1664.64000000
"Kepler-1862",,0.895000,5658.00,0.815000,,4.567000,-0.2200,1232.19000000
"WASP-8",,1.340000,5600.00,1.030000,,4.500000,0.1700,89.96060000
"TOI-1736",,1.080000,5807.00,1.150000,0.25000,4.350000,0.1380,88.94820000
"Kepler-1966",,0.770000,4764.58,0.764415,-0.56655,4.557900,-0.3044,484.60100000
"Kepler-65",,1.273000,6169.00,1.424000,,4.236000,0.0900,303.72800000
"HD 202772 A",,1.720000,6272.00,2.591000,0.97128,3.848000,0.3000,161.49800000
"Kepler-1972",,1.039000,5788.00,1.376000,,4.178000,0.1200,287.33900000
"Kepler-247",,0.891000,5097.00,0.779000,,4.597000,0.2100,663.71100000
"Kepler-1232",,0.920000,5471.00,0.890000,,4.510000,0.0600,632.86500000
"HAT-P-21",,1.240000,5588.00,1.210000,,4.330000,0.0100,277.27800000
"WASP-74",,1.191000,5984.00,1.536000,,4.141000,0.3400,149.21600000
"HD 209458",,1.150000,6117.00,,,4.480000,0.0200,48.30160000
"HIP 70849","K7 V",0.630000,4105.00,,,,,24.05720000
"TOI-2407",,0.521810,3596.00,0.524573,-1.38241,4.715970,,92.43660000
"Kepler-1669",,0.585000,4265.00,0.556000,,4.710000,,543.44400000
"Kepler-1992",,0.930000,5373.47,1.142500,-0.00858,4.290840,-0.1236,532.95500000
"Kepler-1995",,0.847000,5029.00,0.930000,,4.429000,0.4800,595.33100000
"HD 81688",,1.760000,4919.00,10.080000,1.78000,2.860000,0.2000,85.71830000
"Kepler-1921",,1.251000,6120.00,2.000000,,3.934000,0.0200,928.98900000
"Kepler-624",,1.009000,6063.00,1.191000,,4.290000,-0.1400,748.18800000
"TOI-1230",,1.140000,6083.00,1.152810,0.21468,4.371450,,143.13800000
"TOI-1203","G3 V",0.886000,5737.00,1.179000,,4.340000,-0.3900,64.99430000
"K2-99",,1.480000,6053.00,2.660000,,3.900000,0.2400,519.22900000
"Kepler-425",,0.883000,5167.00,0.848000,,4.527000,0.2400,646.64700000
"WASP-126",,1.120000,5800.00,1.270000,,,,216.52600000
"LHS 1815","K",0.440000,3638.00,0.500000,-1.39800,,,29.84240000
"Kepler-603",,1.020000,5956.00,0.920000,,4.520000,,1539.63000000
"HAT-P-4","G1 V",1.260000,5860.00,1.590000,0.42813,4.140000,0.2400,320.45100000
"K2-409",,0.886000,5742.00,1.228000,,4.204000,-0.0360,431.03100000
"TOI-2046","F8 V",1.130000,6250.00,1.210000,,4.300000,-0.0600,289.66800000
"Kepler-1992",,0.874000,5383.00,0.842000,,4.528000,0.0000,532.95500000
