hostname,st_spectype,st_mass,st_teff,st_rad,st_lum,st_logg,st_met,sy_dist
"Kepler-790",,0.726000,5196.00,0.772000,,4.524000,-0.3000,703.16800000
"Kepler-1669",,0.570000,4056.00,0.560000,,4.697000,-0.2300,543.44400000
"Kepler-956",,1.090000,6126.00,1.021000,,4.458000,-0.0400,544.93900000
"Kepler-122",,1.028000,6103.00,0.949000,,4.496000,-0.2000,1027.45000000
"Kepler-1855",,0.275000,3339.00,0.288000,,4.960000,0.0000,
"Kepler-93",,1.000000,5655.00,0.922487,-0.10565,4.508150,-0.1500,95.91150000
"EPIC 249893012","G8 IV/V",1.050000,5430.00,1.710000,,3.990000,0.2000,321.29600000
"Kepler-1265",,0.724000,4769.00,0.742000,,4.557000,0.0000,583.64100000
"TOI-2207",,1.170000,6146.00,1.557380,0.49386,4.121460,,373.34500000
"Kepler-10",,0.895000,5627.00,1.056000,,4.342000,-0.1500,185.50600000
"HD 5608",,1.530000,4877.00,5.140000,,3.190000,,58.11050000
"TOI-4214",,1.382000,6370.00,1.434000,0.48287,4.266000,0.2940,346.88100000
"Kepler-10",,0.871000,5599.00,1.083000,,,-0.1100,185.50600000
"Kepler-1766",,1.039000,5788.86,1.215930,0.17488,4.284870,-0.2396,501.22900000
"Kepler-423",,1.060000,5922.00,1.080000,,4.390000,0.0500,758.75300000
"Qatar-8","G0 V",1.029000,5738.00,1.315000,0.22789,4.214000,0.0250,281.49800000
"Kepler-411",,0.822000,4920.00,0.720000,,4.620000,0.0700,153.67600000
"Kepler-149",,0.848000,5529.00,0.832000,,4.526000,-0.2000,571.03400000
"Kepler-405",,0.965000,5817.00,0.870000,,4.544000,-0.1400,1065.08000000
"K2-280",,0.979000,5556.00,1.310210,0.16842,4.194170,,391.53700000
"Kepler-1370",,1.245000,6292.00,1.276000,,4.319000,0.1600,1004.10000000
"Kepler-717",,1.000000,5652.17,2.091300,0.60439,3.797230,-0.1381,2805.48000000
"Kepler-1276",,1.190000,6482.00,1.190000,,4.360000,,538.48100000
"Kepler-1068",,1.070000,5805.00,0.950000,,4.510000,,1473.61000000
"Kepler-164",,1.076000,6353.00,1.139000,,4.359000,-0.1400,890.75800000
"Kepler-1256",,1.140000,6089.85,1.470970,0.42833,4.159760,-0.0093,891.19200000
"K2-12",,1.010000,5800.00,1.010000,,,0.0300,326.38100000
"Kepler-1307",,1.049000,6245.00,1.065000,,4.406000,-0.1600,1014.62000000
"HD 118203","K0",1.230000,5600.00,,,3.870000,0.1000,92.25890000
"K2-38","G2 V",1.030000,5731.00,1.060000,0.03743,4.380000,0.2600,192.69000000
"Kepler-353",,0.580000,3985.00,0.560000,,4.710000,-0.1200,384.69400000
"Kepler-1501",,1.196000,6425.00,1.186000,,4.368000,-0.0200,749.06000000
"Kepler-598",,0.815000,5252.00,0.898000,,4.442000,0.0400,681.08600000
"Kepler-19",,0.936000,5544.00,0.859000,,4.510000,-0.0800,218.56200000
"HAT-P-46",,1.763000,7587.00,1.395140,0.76421,4.395080,,290.73600000
"TOI-4794",,1.250000,6390.00,1.451000,0.49969,4.215000,-0.1020,543.00800000
"Kepler-1894",,0.963000,5740.00,0.860000,,4.550000,,935.19100000
"Kepler-139",,1.044000,5616.00,1.200000,,4.298000,0.4000,391.03800000
"TOI-1898",,1.240000,6303.91,1.610340,0.56697,4.117650,,79.66820000
"Kepler-1024",,0.810000,5143.00,0.780000,,4.570000,-0.1000,1087.40000000
"KOI-1257",,0.779000,5321.00,0.858000,,4.463000,-0.1600,
"TOI-1136",,1.040400,5805.00,0.957300,-0.02687,4.492000,0.0750,84.53620000
"Kepler-303",,0.520000,3944.00,0.510000,,4.739000,-0.3600,209.73800000
"K2-3",,0.601000,3896.00,0.561000,,4.720000,-0.3200,44.07270000
"55 Cnc","G8 V",0.850000,5200.00,,,4.500000,0.2300,12.58550000
"Teegarden's Star","M7.0 V",0.089000,2904.00,0.107000,-3.13668,,-0.1900,3.83078000
"Kepler-1398",,1.029000,5758.00,1.385000,,4.168000,0.1200,852.20400000
"Kepler-215",,0.813000,5741.00,1.008000,,4.341000,-0.3800,485.99700000
"TOI-4406",,1.070000,5906.50,1.412930,0.34025,4.167210,-0.0700,261.83400000
"Kepler-1881",,0.911000,5418.00,0.812000,,4.576000,-0.0200,1057.21000000
"Kepler-1340",,1.270000,6331.00,1.420000,,4.240000,0.0700,981.77900000
"Kepler-771",,1.047000,5982.00,0.960000,,4.493000,-0.0400,1393.85000000
"Kepler-514",,1.098000,6292.00,1.267000,,4.275000,-0.0800,455.33600000
"GJ 367","M1:",0.420000,3501.00,0.510000,-1.52300,,,9.41263000
"Kepler-684",,0.765000,5666.00,0.677000,,4.658000,-0.8600,1731.27000000
"Kepler-885",,1.160000,6124.01,1.435530,0.41686,4.188500,0.1201,651.31800000
"Kepler-130",,0.950000,5903.00,1.137000,,4.304000,-0.1600,316.66300000
"Kepler-508",,1.269000,6283.00,1.768000,,4.046000,-0.0600,324.61800000
"Kepler-1840",,0.696000,4835.00,0.680000,,4.620000,,513.10700000
"Kepler-157",,1.021000,5988.00,0.934000,,4.507000,-0.1200,773.71300000
"TOI-756","M1 V",0.505000,3657.00,0.505000,-1.38722,4.735000,0.1960,86.17590000
"WASP-174","F6 V",1.300000,6400.00,1.310000,,4.320000,0.0900,410.14900000
"TOI-1136",,1.030000,5767.00,0.977727,-0.02107,4.470470,,84.53620000
"Kepler-1834",,0.716000,4894.00,0.701000,,4.602000,-0.2200,500.39500000
"Kepler-152",,0.846000,5262.00,0.761000,,4.598000,-0.1400,441.09000000
"Kepler-1520",,0.720000,4571.00,0.734657,-0.67309,4.563230,,607.91700000
"Kepler-215",,0.788000,5648.00,0.896000,,,-0.4300,485.99700000
"Kepler-158",,0.656000,4621.00,0.668000,,4.605000,-0.2400,315.17700000
"HAT-P-65",,1.080000,5916.00,1.669780,0.48813,4.026170,,738.51900000
"Kepler-431",,1.210000,6306.00,1.790000,,4.010000,,486.54600000
"Kepler-1883",,1.086000,6208.00,1.024000,,4.454000,-0.1200,1377.61000000
"Kepler-1197",,0.780000,4708.00,0.720000,,4.620000,0.0600,486.94000000
"HAT-P-49",,1.522000,6955.00,1.960790,0.90875,4.035620,,350.35100000
"WASP-4",,0.864000,5400.00,0.893000,,4.470000,-0.0700,267.20600000
"Kepler-1984",,0.450000,3638.00,0.420000,,4.844000,-0.1400,
"HIP 38594",,0.609306,3969.00,0.626646,-1.05654,4.628860,,17.78860000
"NGC 2682 YBP 1514","G5 V",0.960000,5725.00,0.890000,,4.570000,0.0300,914.22100000
"HD 114082",,1.380000,6613.00,1.492700,0.58424,4.230000,,95.39060000
"Qatar-2",,0.740000,4645.00,0.713000,,4.601000,-0.0200,181.37400000
"HD 11506",,1.510000,6183.00,1.240000,,4.430000,0.3400,51.26100000
"TOI-4201",,0.610000,3794.00,0.630000,,4.640000,,189.01100000
"WASP-38",,1.280000,6436.00,1.350000,,4.800000,0.0600,136.24000000
"Kepler-1825",,0.732000,5006.00,0.730000,,4.580000,,430.25400000
"HD 96063",,1.020000,5148.00,4.500000,1.10380,3.600000,-0.3000,140.06500000
"Kepler-79",,1.084000,6388.00,1.037000,,4.442000,-0.2800,1020.72000000
"Kepler-647",,0.930000,5955.00,1.053000,,4.361000,-0.2600,1087.87000000
"Kepler-338",,1.142000,5923.00,1.735000,,4.015000,-0.0700,552.79800000
"Kepler-1756",,0.781000,4915.00,0.812000,,4.512000,0.1600,
"Kepler-361",,1.070000,6062.00,1.140000,,4.350000,,930.32000000
"Kepler-1762",,1.210000,6350.00,1.150000,,4.400000,,1663.74000000
"LP 791-18",,0.139000,2960.00,0.182000,,5.115000,-0.0900,26.49270000
"HD 77338",,0.930000,5383.11,0.964597,-0.15248,4.437860,0.3307,45.93500000
"Kepler-1132",,0.798000,5314.00,0.719000,,4.624000,-0.3400,867.93100000
"K2-321",,0.580289,3650.00,0.590525,-1.25366,4.659240,,77.68880000
"GSC 06214-00210","K7",0.900000,4200.00,,-0.42000,,,108.50000000
"Kepler-1149",,1.014000,5709.00,0.950000,,4.489000,0.1400,1217.73000000
"Kepler-220",,0.729000,4665.00,0.685000,,,-0.0100,171.10900000
"Kepler-1406",,1.034000,6071.00,1.120000,,4.350000,,572.40300000
"Kepler-676",,0.538000,3983.00,0.516000,,4.740000,,295.19600000
"Kepler-1235",,0.911000,5492.00,0.812000,,4.576000,-0.0800,540.60400000
"Kepler-1817",,0.906000,5531.00,0.800000,,4.590000,,748.56900000
"Kepler-1531",,1.046000,6522.00,1.528000,,4.089000,-0.5400,666.33400000
"Kepler-1991",,0.914000,5478.00,1.053000,,4.354000,0.1600,855.82000000
"Kepler-242",,0.720000,4951.00,0.710000,,4.590000,,600.24100000
"WASP-31",,1.165000,6300.00,1.252000,,,-0.2000,383.82900000
"HD 147379","M0Vvar",0.590000,3908.00,0.540000,-1.00000,4.750000,,10.76430000
"GJ 724","M",0.460000,3671.00,0.550000,-1.30100,,,16.96580000
"LP 791-18",,0.141690,2949.00,0.171430,-2.69843,5.121230,,26.49270000
"HAT-P-1",,1.134000,5975.00,1.112000,,4.400000,0.1300,158.97900000
"Kepler-603",,1.050000,5825.00,1.541130,0.39156,4.083580,0.3100,1539.63000000
"TOI-1723",,1.035000,5777.00,1.087250,0.07417,4.380350,,100.72700000
"WASP-84","K0",0.842000,5314.00,0.748000,,4.400000,0.0000,100.58800000
"Kepler-20",,0.876000,5465.00,0.925000,,4.449000,0.0200,282.56300000
"Kepler-1669",,0.570000,4056.00,0.560000,,4.697000,-0.2300,543.44400000
"Kepler-2001",,0.790000,4838.00,0.758905,-0.54627,4.575320,,776.55000000
"TOI-2120",,0.211000,3131.00,0.245000,-2.28651,4.985000,0.3900,32.17550000
"CoRoT-7","G9 V",0.915000,5250.00,,,,,159.90600000
"xi Aql","G9 III",1.000000,4742.00,10.000000,,,-0.2700,56.18580000
"Kepler-1972",,1.173000,6003.00,2.193000,,3.825000,-0.2800,287.33900000
"WASP-67",,0.910000,5200.00,0.880000,,4.350000,-0.0700,189.46900000
"K2-38",,1.054000,5705.00,1.141000,,,0.2350,192.69000000
"HD 47366",,2.190000,4914.00,6.200000,1.38917,3.100000,-0.0700,84.35520000
"MWC 758",,1.655000,7314.00,2.014460,1.01963,4.048550,,159.53700000
"Kepler-1834",,0.765000,4821.00,0.788000,,4.529000,0.1600,500.39500000
"Kepler-1610",,0.825000,5295.00,0.800000,,4.548000,-0.1000,864.33100000
"GJ 3929","M3.5 V",0.309000,3369.00,0.315000,-1.93742,4.840000,0.0000,15.80950000
"WASP-7",,1.280000,6520.00,,,,0.0000,162.30300000
"Kepler-1999",,0.680000,4376.00,0.714303,-0.77323,4.562810,,701.25500000
"HD 217107",,1.059631,5606.83,1.171950,,4.325008,0.3399,20.06190000
"Kepler-4",,1.030000,5772.00,1.595210,0.40564,4.045270,0.1200,487.91600000
"HAT-P-40",,1.512000,6080.00,2.206000,,,0.2200,464.46900000
"K2-136","K5.5",0.740000,4499.00,0.660000,-0.78781,4.660000,0.1500,59.24740000
"WASP-23",,0.820000,5046.00,1.060000,,4.330000,0.0500,207.49000000
"CoRoT-19",,1.030000,5758.00,1.639500,0.42521,4.021480,,790.66300000
"Kepler-1932",,0.902000,5210.00,0.801000,,,0.2100,713.73300000
"GJ 887","M1 V",0.495000,3688.00,0.468000,-1.43415,4.156000,-0.0600,3.28679000
"TOI-2015",,0.304345,3223.00,0.324155,-1.99076,4.899930,,47.34440000
"Kepler-6",,1.090000,5660.00,1.261000,,,0.3600,587.03900000
"Kepler-907",,1.008000,6044.00,1.327000,,4.192000,-0.2400,
"HD 5278",,1.230000,6295.70,1.137420,0.26271,4.416130,,57.58460000
"Kepler-658",,0.533000,3736.00,0.525000,,4.724000,0.1200,388.38400000
"Kepler-1552",,0.850000,5202.00,0.780000,,4.580000,-0.0700,769.09600000
"Kepler-235",,0.510000,3887.00,0.480000,,4.783000,-0.3600,428.01800000
"TOI-532",,0.639000,3927.00,0.612000,-1.09528,4.669000,0.3380,135.04700000
"K2-396",,0.954000,5236.00,0.920000,,4.488000,0.2370,274.86400000
"Kepler-62",,0.727000,4926.00,0.662000,,4.653000,-0.3600,300.87400000
"BD+60 1417","K0",1.000000,4993.00,0.797000,0.35595,4.553900,,44.95430000
"BD+60 1417",,0.830000,4993.00,0.797302,-0.44861,4.553900,,44.95430000
"Kepler-5",,1.230000,6295.00,1.781850,0.65242,4.026230,0.0700,899.77700000
"WASP-36",,1.000000,5928.00,0.950000,,4.510000,-0.0100,386.34600000
"Kepler-518",,0.940000,5802.00,0.922000,,,-0.1400,337.90100000
"HD 98219",,1.300000,4992.00,4.500000,1.04922,3.500000,-0.0200,113.70400000
"WASP-2","K1",0.840000,5150.00,0.825000,,4.400000,-0.0800,153.24200000
"Kepler-1801",,0.936000,5738.00,0.981000,,4.426000,-0.0600,839.33200000
"TOI-4860",,0.337566,3237.00,0.352907,-1.90941,4.871110,,80.14230000
"NGTS-21","K3 V",0.720000,4660.00,0.860000,,4.630000,-0.2600,592.89100000
"Kepler-1432",,1.077000,6313.00,1.122000,,4.373000,-0.1200,2171.87000000
"WASP-4",,0.914000,5500.00,0.905000,,4.485000,-0.0300,267.20600000
"HD 16175",,1.260000,6030.00,,,4.230000,0.3200,59.85900000
"Kepler-60",,0.973000,5862.00,1.307000,,4.194000,-0.1000,1025.10000000
"Kepler-424",,0.892000,5523.00,0.946000,,4.437000,0.0200,698.64600000
"Kepler-811",,0.965000,5639.00,1.439000,,,0.0200,985.04100000
"Kepler-864",,1.000000,5754.00,1.000000,,4.440000,0.0400,2022.90000000
"Gaia-1",,0.949000,5470.00,0.952000,,,,363.66000000
"Kepler-102",,0.734000,4812.00,0.755000,,4.548000,0.0200,107.79600000
"Kepler-485",,1.099000,6109.00,1.029000,,4.455000,0.0000,1140.95000000
"Kepler-1656",,1.048000,5731.00,1.001000,,,0.1900,185.87500000
"Kepler-27",,0.981000,5325.00,0.863000,,4.558000,0.3600,1044.36000000
"HD 103891","F9",1.280000,6072.00,2.220000,0.78604,3.790000,-0.1900,55.52130000
"Kepler-404",,0.952000,5653.00,0.857000,,4.551000,-0.0400,812.52400000
"Kepler-1694",,0.795000,5018.00,0.838000,,4.492000,0.1400,513.32900000
"Kepler-718",,1.030000,5767.00,1.168750,0.13394,4.315460,,1302.33000000
"Kepler-596",,1.024000,5984.00,1.290000,,,-0.0600,1023.85000000
"tau Cet","G8.5V",0.800000,5283.00,0.830000,-0.28400,4.520000,-0.5200,3.60304000
"Kepler-1367",,0.630000,4015.00,0.729188,-0.90488,4.511730,,401.48400000
"K2-31","G7 V",0.910000,5280.00,0.780000,,4.600000,0.0800,110.52700000
"TOI-2274","M",0.612000,3943.00,0.631000,-1.06233,4.500000,,48.87600000
"Kepler-1979",,1.010000,5690.05,0.923659,-0.09382,4.511370,0.1786,1076.27000000
"WASP-14",,1.210000,6480.00,1.306000,,,0.0000,161.99700000
