l,m,n,chi_f,Re_Momega,Im_Momega,Q,f_Hz_per_Msun_over_M,tau_ms_times_M_over_Msun,f_Hz_at_Mf_95p162,tau_ms_at_Mf_95p162,f_Hz_at_50Msun,tau_ms_at_50Msun
2,1,0,0.0,0.373671684418042,-0.08896231568893621,2.1001683776117894,12074.267580795398,0.05536603796222702,126.88118766729784,5.268742904561448,241.48535161590797,2.7683018981113507
2,1,0,0.68646,0.4522431291586031,-0.08249263320770182,2.74111221555951,14613.107657705994,0.05970825219313528,153.56032510567238,5.681956695203139,292.2621531541199,2.9854126096567635
2,2,0,0.0,0.373671684418042,-0.08896231568893621,2.1001683776117894,12074.267580795398,0.05536603796222702,126.88118766729784,5.268742904561448,241.48535161590797,2.7683018981113507
2,2,0,0.68646,0.5267029164455117,-0.0812884170487448,3.2397168967484813,17019.089789082693,0.06059277725494007,178.84333861292,5.766129869134607,340.38179578165386,3.0296388627470034
2,2,1,0.0,0.34671099687916435,-0.2739148752912351,0.6328809205971929,11203.100272484071,0.01798183082391683,117.7266164276084,1.7111869848655736,224.06200544968146,0.8990915411958417
2,2,1,0.68646,0.5148587648551729,-0.24581320117786085,1.0472561326815015,16636.37560031033,0.020037536324492896,174.8216262826583,1.906812031711393,332.7275120062066,1.0018768162246448
3,3,0,0.0,0.5994432884374898,-0.09270304794494764,3.2331368909977667,19369.513307861183,0.05313192022085729,203.54252020618713,5.0561397920572215,387.39026615722366,2.656596011042865
3,3,0,0.68646,0.8349580134537765,-0.0834351778142794,5.00363297188826,26979.583665460887,0.05903374423921106,283.51215469894373,5.617769169291804,539.5916733092178,2.951687211960553
4,4,0,0.0,0.8091783775322393,-0.09416396098892346,4.296645813505144,26146.579091574324,0.05230760150606508,274.7586125929922,4.977695974520165,522.9315818314865,2.6153800753032543
4,4,0,0.68646,1.130887810633786,-0.08484415730144453,6.664500223720956,36541.81624898341,0.058053389936344006,383.99588332510257,5.524476693122367,730.8363249796682,2.9026694968171998
