a_star,r_over_M,r_over_r_isco,F_dimensionless_Mdot_c2_over_rg2,T_eff_K_50Msun_0p1Edd,E_tilde,L_tilde_over_M,Omega_M,v_local_static_c,F_SS73_dimensionless
0.0,6.000005999999999,1.000001,5.532219911735987e-16,5791.4025360199075,0.9428090415501063,3.4641016141966796,0.06804127967740253,0.49999962500042194,2.763096288862275e-10
0.0,6.2635807241861965,1.0439301206976994,8.202376992557652e-07,1136432.9693060261,0.943009289419345,3.467172897264288,0.06379196522720026,0.4842980885543965,1.033039916169057e-05
0.0,6.538734042665436,1.089789007110906,2.6480658807507393e-06,1523319.8086275281,0.9435478653400178,3.475919509218196,0.05980802899124133,0.4693887024265588,1.7967448157126097e-05
0.0,6.825974592395293,1.1376624320658821,4.830845835441881e-06,1770372.6336622199,0.9443471121970342,3.4897444602479326,0.05607289756753056,0.45520548289078355,2.3438890486799982e-05
0.0,7.1258333542852945,1.1876388923808825,6.991820858216932e-06,1941808.8057847987,0.9453460429607654,3.5081634565510007,0.052571032596283915,0.44169019508427343,2.7180205626610768e-05
0.0,7.438864634746104,1.2398107724576841,8.926994469381395e-06,2064121.2719848594,0.94649641083984,3.5307803849552366,0.04928786611946539,0.428791211022288,2.9549950367336366e-05
0.0,7.76564709035726,1.2942745150595434,1.053948920124562e-05,2151611.13861026,0.9477598174684737,3.557269025859267,0.046209739977250586,0.41646256722181496,3.0842451328057576e-05
0.0,8.106784797547595,1.3511307995912658,1.17975771539245e-05,2213130.888610854,0.9491055546990497,3.587359211757496,0.043323848989302985,0.40466318191374395,3.129848881271433e-05
0.0,8.462908369265767,1.4104847282109612,1.2707831205721245e-05,2254637.6371554495,0.9505089733575319,3.6208262118623047,0.04061818768449315,0.3933562008130849,3.111428111559082e-05
0.0,8.83467612070506,1.47244602011751,1.329801800550826e-05,2280371.592903602,0.9519502361280335,3.65748249321287,0.03808150035745419,0.38250844718320187,3.0449031751478714e-05
0.0,9.222775286237432,1.5371292143729054,1.3606304009819554e-05,2293474.6050174413,0.9534133542032786,3.6971712564437045,0.03570323424420528,0.3720899570704349,2.9431262387627518e-05
0.0,9.627923289806313,1.6046538816343856,1.3674564891964975e-05,2296345.717721251,0.954885436118473,3.7397613134102112,0.03347349562205171,0.3620735845247719,2.8164120468560427e-05
0.0,10.050869071126623,1.6751448451877706,1.3544361477583946e-05,2290859.883208577,0.9563560970121054,3.7851429910869574,0.03138300865113404,0.35243466466581597,2.6729821781053004e-05
0.0,10.492394470143525,1.7487324116905876,1.3254641640211275e-05,2278509.7467657235,0.9578169904209917,3.833224828684085,0.029423076786405163,0.3431507248229826,2.5193363761636543e-05
0.0,10.953315672309131,1.8255526120515218,1.2840549619946022e-05,2260501.4838877167,0.9592614345459344,3.883930893847592,0.02758554659950699,0.33420123583725403,2.3605624568066013e-05
0.0,11.434484717348955,1.9057474528914924,1.233293508178188e-05,2237821.821656892,0.9606841119819658,3.9371985864173786,0.025862773860043233,0.32556739707923105,2.2005945277288346e-05
0.0,11.936791074307017,1.9894651790511695,1.1758293297978955e-05,2211286.249533376,0.9620808270345977,3.992976829397105,0.024247591735145034,0.3172319499044129,2.042427757292482e-05
0.0,12.461163285781266,2.076860547630211,1.113896011776446e-05,2181574.5339970267,0.9634483085094383,4.051224569860326,0.022733280975037334,0.309179015199115,1.888296655034251e-05
0.0,13.008570684388692,2.168095114064782,1.0493446750744775e-05,2149257.415567171,0.9647840486566489,4.111909529763396,0.02131354196057668,0.30139395142038233,1.739822746020634e-05
0.0,13.580025184633262,2.2633375307722106,9.836840413824363e-06,2114817.0326518593,0.9660861710444119,4.175007159651892,0.01998246849647606,0.29386323013971355,1.598136604467577e-05
0.0,14.176583153488844,2.3627638589148074,9.181224164192153e-06,2078662.7852759191,0.9673533217168288,4.240499758159668,0.018734523241195792,0.2865743265934277,1.4639784349156818e-05
0.0,14.799347363155217,2.466557893859203,8.53608748381792e-06,2041143.8249405527,0.9685845791963552,4.308375727811942,0.01756451467128669,0.27951562314527517,1.337780730788873e-05
0.0,15.449469029596774,2.5749115049327957,7.90871111318352e-06,2002559.0039461853,0.9697793798157947,4.378628943536152,0.016467575484356494,0.27267632389752755,1.2197359825650347e-05
0.0,16.128149940632394,2.688024990105399,7.304517576614116e-06,1963164.8870598415,0.9709374555801834,4.451258214879327,0.015439142350814231,0.26604637895940614,1.1098519358864305e-05
0.0,16.83664467751029,2.806107446251715,6.727383838100027e-06,1923182.2631051263,0.9720587823158948,4.52626682653924,0.01447493693015886,0.2596164171075,1.0079965008197823e-05
0.0,17.57626293407466,2.9293771556791097,6.1799157646048865e-06,1882801.4841248763,0.9731435363007971,4.603662144669286,0.013570948072838663,0.2533776857605793,9.139340761430537e-06
0.0,18.34837193781113,3.0580619896351884,5.6636859576720904e-06,1842186.876849883,0.9741920579135129,4.683455278686292,0.012723415133640354,0.24732199734797627,8.27354767627563e-06
0.0,19.154398977246476,3.1923998295410794,5.179437611201352e-06,1801480.4134904586,0.9752048211127575,4.765660790126529,0.011928812327190496,0.2414416812820813,7.478977388350442e-06
0.0,19.99583404037476,3.3326390067291265,4.727257592205672e-06,1760804.7864549463,0.9761824077753942,4.850296441556577,0.011183834060487167,0.23572954085600525,6.751697301852636e-06
0.0,20.87423256898702,3.4790387614978364,4.306722109497856e-06,1720265.9988573664,0.9771254860962786,4.937382979728231,0.010485381181444554,0.23017881448073463,6.087596112107623e-06
0.0,21.79121833399614,3.63186972233269,3.9170182972001544e-06,1679955.5588678073,0.9780347923934467,5.026943948128169,0.009830548086243477,0.2247831407550973,5.482496871057897e-06
0.0,22.748486437072074,3.791414406178679,3.5570448713031804e-06,1639952.3482833526,0.9789111157758836,5.1190055248589506,0.009216610631853776,0.21953652692897366,4.932243597378559e-06
0.0,23.747806444136195,3.957967740689366,3.2254947594434794e-06,1600324.2206131858,0.979755285223501,5.213596382433118,0.008641014803443875,0.21443332037738694,4.432766416909421e-06
0.0,24.791025656507042,4.131837609417841,2.920922333949306e-06,1561129.374095601,0.9805681587043404,5.310747566594056,0.008101366089533444,0.209468182752008,3.980129366519363e-06
0.0,25.88007252574463,4.313345420957439,2.6417975820735057e-06,1522417.5358241335,0.9813506140158121,5.41049239171802,0.0075954195206889945,0.204636066518523,3.5705642799327415e-06
0.0,27.016960218505584,4.502826703084264,2.3865492701405e-06,1484230.9869060882,0.9821035410875858,5.5128663507179345,0.0071210703303230165,0.1999321936243563,3.2004935758897605e-06
0.0,28.203790337999138,4.700631722999856,2.15359889030878e-06,1446605.452825801,0.9828278355256962,5.617907037675501,0.006676345198744899,0.19535203607229834,2.8665442690082213e-06
0.0,29.442756808923253,4.907126134820542,1.9413869396228135e-06,1409570.8794859764,0.9835243932121793,5.725654081684286,0.006259394044038449,0.19089129820243808,2.5655551063861823e-06
0.0,30.736149933062343,5.1226916555103905,1.7483928582377653e-06,1373152.1115122903,0.9841941058034183,5.836149090602023,0.005868482325615595,0.18654590050805545,2.2945783852315914e-06
0.0,32.08636062304373,5.347726770507289,1.5731497588163349e-06,1337369.4865617962,0.9848378569944559,5.949435603592082,0.005501983828428596,0.18231196483133014,2.0508777175422774e-06
0.0,33.49588482207913,5.582647470346521,1.4142549105453205e-06,1302239.3577288673,0.9854565194366588,6.065559051488051,0.005158373897822658,0.17818580080230548,1.8319227677177993e-06
0.0,34.96732811786118,5.82788801964353,1.2703767872256575e-06,1267774.5536053875,0.9860509522129868,6.184566724146061,0.004836223096885622,0.17416389339988977,1.6353817900471245e-06
0.0,36.503410559144314,6.083901759857386,1.1402593610049875e-06,1233984.784377594,0.9866219987893211,6.306507744060911,0.004534191259908858,0.17024289152709002,1.4591126286003666e-06
0.0,38.106971683913535,6.351161947318922,1.0227242112531826e-06,1200877.0011265548,0.9871704853722604,6.431433045617181,0.00425102191722147,0.1664195975044278,1.3011527065219234e-06
0.0,39.780975768435916,6.630162628072653,9.166709209485553e-07,1168455.7141599285,0.9876972196139012,6.559395359428139,0.003985537068204801,0.1626909573958103,1.1597084203250749e-06
0.0,41.52851730689825,6.921419551149708,8.210761526005769e-07,1136723.2756983985,0.9882029896126888,6.690449201285327,0.0037366322807426532,0.15905405209020698,1.0331442635239126e-06
0.0,43.352826731760054,7.225471121960009,7.349917251992855e-07,1105680.13125012,0.9886885631666836,6.824650865302138,0.003503272096720681,0.15550608907049032,9.19971929441717e-07
0.0,45.25727638539633,7.542879397566055,6.575419554105334e-07,1075325.0434984283,0.9891546872417839,6.962058420886887,0.003284485724461574,0.1520443948078664,8.188395824768908e-07
0.0,47.24538675406917,7.874231125678196,5.879204764293988e-07,1045655.291857149,0.989602087622703,7.102731713226136,0.003079363000176303,0.14866640772657835,7.285214381138814e-07
0.0,49.32083297575197,8.220138829291995,5.253867074508622e-07,1016666.8507901237,0.9900314687190183,7.2467323669982875,0.002887050601630833,0.1453696716891078,6.47907752545911e-07
0.0,51.48745163383619,8.581241938972697,4.6926211073067903e-07,988354.5490903029,0.9904435135024481,7.394123793071661,0.0027067484982769667,0.14215182995702477,5.759952912613397e-07
0.0,53.74924784927975,8.958207974879958,4.189263457247767e-07,960712.2125043609,0.9908388835548257,7.544971197971192,0.002537706623079606,0.1390106195870118,5.118783209413761e-07
0.0,56.11040268430648,9.351733780717746,3.738134049596061e-07,933732.7913778159,0.9912182192090655,7.699341595923861,0.00237922175219512,0.13594386622549204,4.547401493590956e-07
0.0,58.5752808713437,9.762546811890617,3.3340779733896704e-07,907408.4750535887,0.9915821397678641,7.857303823316044,0.002230634579520026,0.13294947926876627,4.038452226870152e-07
0.0,61.14843888148459,10.191406480247432,2.972408283468766e-07,881730.794526443,0.9919312437869724,8.018928555415977,0.002091326973939996,0.1300254473586787,3.5853177790471394e-07
0.0,63.83463334739074,10.639105557898457,2.648870132477062e-07,856690.7145298218,0.992266109411685,8.184288325232307,0.001960719407869163,0.1271698341866099,3.1820503917744593e-07
0.0,66.6388298562052,11.106471642700868,2.3596064887494625e-07,832278.7161027644,0.99258729475676,8.353457544395416,0.0018382685463822963,0.12438077458109276,2.823309405947264e-07
0.0,69.56621212872963,11.594368688121605,2.1011256142494957e-07,808484.8708672498,0.9928953383213293,8.526512525961952,0.001723464986910535,0.12165647085658474,2.504303530538848e-07
0.0,72.62219160183487,12.103698600305812,1.8702704020555633e-07,785298.9076474045,0.9931907594315305,8.703531509055464,0.0016158311400976256,0.11899518940294142,2.2207378996751423e-07
0.0,75.8124174318175,12.635402905302916,1.6641896236909895e-07,762710.2722740981,0.9934740587046028,8.884594685266803,0.0015149192430009642,0.11639525749694925,1.9687656455300915e-07
0.0,79.14278693719466,13.190464489532443,1.4803110945004645e-07,740708.1813863788,0.9937457185290679,9.06978422674781,0.0014203094963722148,0.11385506031890506,1.7449437047034826e-07
0.0,82.61945650024143,13.769909416706904,1.3163167297661226e-07,719281.6706068092,0.9940062035563759,9.25918431594048,0.0013316083182684862,0.11137303815870386,1.546192573014006e-07
0.0,86.24885294742239,14.3748088245704,1.1701194443837327e-07,698419.637850537,0.9942559612000593,9.452881176891594,0.0012484467067290005,0.10894768379722675,1.369759726395375e-07
0.0,90.03768542975544,15.00628090495924,1.0398418281024924e-07,678110.8821581036,0.9944954221390131,9.650963108109806,0.0011704787047058822,0.10657754005002336,1.2131864324388668e-07
0.0,93.99295782506826,15.66549297084471,9.237965167934094e-08,658344.1384649561,0.9947250008220113,9.853520516928402,0.0010973799608631149,0.1042611974613746,1.07427768696619e-07
0.0,98.12198168507558,16.353663614179265,8.204681724439687e-08,639108.1087614679,0.9949450959710149,10.060645955342842,0.0010288463802564682,0.10199729213780712,9.510750219478019e-08
0.0,102.43238975120865,17.072064958534774,7.284969788051663e-08,620391.4899331883,0.9951560910811889,10.272434157296935,0.0009645928592811899,0.09978450371103079,8.418319443927099e-08
0.0,106.93215006418295,17.822025010697157,6.46663558188255e-08,602182.9986819361,0.9953583549158895,10.488982077396635,0.0009043520996247472,0.09762155342108307,7.44991779964539e-08
0.0,111.62958069338632,18.604930115564386,5.7387521349594565e-08,584471.3936683903,0.9955522419951526,10.710388931034242,0.0008478734962905959,0.09550720231120635,6.591677095874505e-08
0.0,116.53336511331534,19.42222751888589,5.0915340242510356e-08,567245.4952882457,0.995738093076473,10.936756235909952,0.000794922095067101,0.09344024952665972,5.831248018561672e-08
0.0,121.6525682554841,20.275428042580682,4.5162235188480405e-08,550494.203178302,0.9959162356268746,11.16818785494103,0.0007452776151046161,0.09141953071028121,5.1576385840086415e-08
0.0,126.99665326547935,21.16610887757989,4.0049872509884125e-08,534206.5117532918,0.9960869842854567,11.404790040552284,0.0006987335325345775,0.0894439164881782,4.561069032897947e-08
0.0,132.57549899613673,22.09591649935612,3.550822572521577e-08,518371.52392253117,0.9962506413157692,11.646671480344283,0.0006550962213184337,0.08751231103943684,4.032841609434736e-08
0.0,138.39941826917646,23.06656971152941,3.147472800843227e-08,502978.4631416415,0.996407497047506,11.89394334413874,0.0006141841477522794,0.08562365074420918,3.565223797893952e-08
0.0,144.4791769390558,24.07986282317597,2.7893506054097774e-08,488016.6839672144,0.996557830307125,12.14671933240277,0.0005758271152762919,0.0837769029049664,3.151343709452225e-08
0.0,150.826013794279,25.137668965713164,2.4714688326841146e-08,473475.68125895574,0.9967019088371176,12.405115726056339,0.0005398655564473325,0.08197106453609845,2.785096425468993e-08
0.0,157.45166133295336,26.241943555492227,2.189378114668128e-08,459345.09816551645,0.9968399897037298,12.669251437669201,0.0005061498691292816,0.08020516121740093,2.461060209228532e-08
0.0,164.36836745099583,27.394727908499306,1.9391106517277957e-08,445614.7329659655,0.9969723196930249,12.939248064055786,0.00047453979413962033,0.07847824600732001,2.1744215965876873e-08
0.0,171.5889180830838,28.5981530138473,1.7171296073348044e-08,432274.54489522515,0.9970991356952369,13.21522994027843,0.00044490383176322597,0.07678939841212915,1.920908467136721e-08
0.0,179.12666083820045,29.85444347303341,1.5202835957511333e-08,419314.65908712446,0.9972206650774286,13.497324195071078,0.00041711869470605946,0.07513772340749054,1.6967302816047694e-08
0.0,186.99552967346878,31.165921612244798,1.3457657831169116e-08,406725.37062934734,0.9973371260445093,13.785660807697335,0.00039106879521298753,0.07352235050910949,1.4985247486201128e-08
0.0,195.21007065188383,32.53501177531397,1.1910771651369158e-08,394497.14791528176,0.9974487279887186,14.080372666258432,0.000366645764216129,0.07194243288942616,1.3233102549061607e-08
0.0,203.78546883155886,33.96424480525981,1.0539936182854592e-08,382620.63526485144,0.9975556718277049,14.381595627468089,0.0003437480005133491,0.07039714653750627,1.1684434579186788e-08
0.0,212.73757633619016,35.45626272269836,9.325363587967693e-09,371086.6549511992,0.9976581503313698,14.689468577912779,0.00032228024810146535,0.06888568945949221,1.0315814991852532e-08
0.0,222.08294165863336,37.013823609772224,8.249454745414478e-09,359886.2086663456,0.9977563484376654,15.004133496817461,0.00030215319990583764,0.06740728091715976,9.10648350574491e-09
0.0,231.83884025175698,38.63980670862616,7.296562252910319e-09,349010.478468155,0.9978504435575533,15.325735520337888,0.00028328312625784484,0.06596116070229789,8.038048547775267e-09
0.0,242.02330646312484,40.33721774385414,6.452778349882092e-09,338450.8272785057,0.9979406058693536,15.654423007402219,0.0002655915265746869,0.06454658844478367,7.094220657958044e-09
0.0,252.6551668725393,42.10919447875655,5.70574524848409e-09,328198.7989547522,0.9980269986027225,15.990347607125768,0.0002490048027924824,0.06316284295237207,6.260575355525287e-09
0.0,263.7540750940725,43.95901251567875,5.044485602566354e-09,318246.118019247,0.9981097783125027,16.333664327824017,0.00023345395319412392,0.061809221580352874,5.524342292197776e-09
0.0,275.340548106917,45.89009135115284,4.45925105238447e-09,308584.6890232301,0.9981890951427141,16.684531607650133,0.00021887428535820056,0.060485039629352706,4.874217848009316e-09
0.0,287.4360041822204,47.90600069703674,3.941386989831671e-09,299206.59563185344,0.9982650930809356,17.04311138688459,0.0002052051470348319,0.05918962976967371,4.300198622316204e-09
0.0,300.0628024760073,50.010467079334546,3.4832118631561635e-09,290104.09942417813,0.9983379102033508,17.409569181905447,0.00019238967382885044,0.05792234149066882,3.7934335404556945e-09
0.0,313.2442843613838,52.2073807268973,3.077909509890966e-09,281269.6384747668,0.9984076789107249,17.78407416086907,0.0001803745526406735,0.05668254057375072,3.3460925375840926e-09
0.0,327.0048165764273,54.500802762737884,2.7194331523125097e-09,272695.8257029853,0.9984745261555777,18.16679922113226,0.00016910979988076768,0.05546960858772404,2.9512499979797496e-09
0.0,341.3698362675225,56.89497271125375,2.402419830208247e-09,264375.4470499374,0.9985385736608262,18.557921068447648,0.00015854855353506528,0.05428294240521546,2.602781322800161e-09
0.0,356.36589801141093,59.39431633523515,2.1221141661186e-09,256301.4594749396,0.9985999381301577,18.95762029796569,0.00014864687821631225,0.053121953739054574,2.295271174020969e-09
0.0,372.02072290287333,62.003453817145555,1.8743004724519514e-09,248466.98880578938,0.9986587314504002,19.366081477077163,0.0001393635823903519,0.05198606869753274,2.0239320989716986e-09
0.0,388.3632497987921,64.72720829979868,1.6552423109762734e-09,240865.32748083383,0.9987150608861507,19.783493230131718,0.00013066004701699162,0.050874727357533976,1.7845323802703618e-09
0.0,405.423688813315,67.57061480221917,1.4616287045764438e-09,233489.93214576415,0.9987690292669155,20.210048325068694,0.00012250006489259382,0.04978738335459673,1.5733320816480827e-09
0.0,423.23357716301325,70.53892952716888,1.2905262876820175e-09,226334.42118711793,0.9988207351670184,20.645943761997636,0.00011484969002604295,0.04872350348902302,1.3870263726035947e-09
0.0,441.825837465266,73.63763957754433,1.1393367524764866e-09,219392.57216030254,0.9988702730785206,21.09138086376718,0.00010767709642148625,0.04768256734720705,1.2226953153636514e-09
0.0,461.23483859763905,76.87247309960651,1.0057590180424645e-09,212658.3191679574,0.9989177335773972,21.54656536856183,0.00010095244568037514,0.0466640669374062,1.0777593874534471e-09
0.0,481.496459230758,80.24940987179299,8.877556076561102e-10,206125.75014670176,0.9989632034832048,22.0117075245673,9.464776287202594e-05,0.045667506339224916,9.499400933934343e-10
0.0,502.64815415212587,83.77469235868764,7.835227767017331e-10,199789.10415795818,0.999006766012473,22.48702218674643,8.873682015631145e-05,0.04469240136612603,8.372250906236617e-10
0.0,524.729023503481,87.45483725058017,6.914639788039691e-10,193642.768596277,0.9990485009260455,22.97272891576845,8.319502767435047e-05,0.043738279240326215,7.378373186075597e-10
0.0,547.7798850596898,91.2966475099483,6.101663049036763e-10,187681.2763918253,0.9990884846705864,23.469052079135675,7.799933125329202e-05,0.04280467827946973,6.502076769897418e-10
0.0,571.8433496827842,95.30722494713069,5.383795673165663e-10,181899.30318199,0.9991267905144697,23.97622095455285,7.312811649964123e-05,0.041891147594511444,5.729508494041064e-10
0.0,596.9639000906254,99.49398334843757,4.749977370059757e-10,176291.66448249845,0.9991634886782556,24.494469835585495,6.856111888214929e-05,0.04099724679827329,5.048439147034423e-10
0.0,623.1879730858035,103.86466218096724,4.190424731464522e-10,170853.31283650905,0.999198646459956,25.024038139654703,6.427933943020755e-05,0.040122545724169706,4.4480742759862966e-10
0.0,650.564045396772,108.42734089946201,3.696485130877407e-10,165579.33498116542,0.9992323283552857,25.56517051841694,6.026496569704629e-05,0.03926662415462725,3.9188868648329284e-10
0.0,679.1427232899124,113.19045388165206,3.260507152455693e-10,160464.94899600203,0.9992645961730837,26.11811697057908,5.6501297658939556e-05,0.03842907155875018,3.4524693805323026e-10
0.0,708.9768361181664,118.1628060196944,2.875725709889813e-10,155505.50148686962,0.9992955091460928,26.683132957199117,5.297267824215409e-05,0.03760948683881059,3.041402966351477e-10
0.0,740.1215339791772,123.35358899652954,2.5361602084770545e-10,150696.4647638626,0.9993251240372707,27.260479519525457,4.9664428188629435e-05,0.03680747808516435,2.679141812977223e-10
0.0,772.6343896634592,128.77239827724318,2.2365242915587572e-10,146033.43405017842,0.9993534952418066,27.850423399427786,4.656278498942729e-05,0.036022662339217706,2.3599109617185467e-10
0.0,806.575505081063,134.42925084684384,1.9721458689105869e-10,141512.12470782112,0.999380674885006,28.45323716247474,4.365484563190873e-05,0.03525466536408918,2.0786159926191337e-10
0.0,842.0076223634596,140.33460372724326,1.7388962703707918e-10,137128.36948698293,0.9994067129162048,29.069199323714027,4.0928512922465994e-05,0.03450312142263238,1.8307632265953415e-10
0.0,878.9962398460293,146.49937330767156,1.533127496022316e-10,132878.11580698783,0.9994316571988692,29.69859447621266,3.837244516150688e-05,0.03376767306250252,1.6123892272048082e-10
0.0,917.6097331455561,152.93495552425935,1.3516166479199233e-10,128757.42306651545,0.9994555535970258,30.341713422415868,3.5976008961337446e-05,0.033047970907967614,1.4199985265169535e-10
0.0,957.9194815565426,159.65324692609042,1.1915167306462816e-10,124762.4599876581,0.9994784460581702,30.998853308384692,3.372923501066269e-05,0.03234367345818077,1.250508622748114e-10
0.0,1000.0,166.66666666666666,1.050313098406419e-10,120889.50199213224,0.999500376692789,31.67031776097381,3.162277660168279e-05,0.03165444689164592,1.1012014065799902e-10
0.5,4.233006762533355,1.000001,1.937617758147576e-15,7922.749407371668,0.917882006660961,2.902866153237084,0.10858820494149209,,7.868721721801191e-10
0.5,4.431932003595506,1.046994886650051,3.1743527005599985e-06,1593942.6371121544,0.9182361035948251,2.906270582995087,0.10172762359496093,,3.112688756853199e-05
0.5,4.640205505539705,1.0961971964741566,9.941671692910485e-06,2120429.0594881233,0.9191714665665726,2.9158004865500677,0.09527865764831059,,5.3625477837150824e-05
0.5,4.858266579038908,1.1477117117568518,1.763584661880968e-05,2447135.2412942867,0.920535126674786,2.93061492978395,0.0892193052475616,,6.929312501833762e-05
