b_over_M,r1_over_M,r2_over_M,r3_over_M,dr1_db,dr2_db,dr3_db
2.85,2.002196764734467,,,0.9541809943715476,,
2.8896610169491526,2.040040553324796,,,0.9547221926494736,,
2.929322033898305,2.0779272708632726,,,0.955785613506265,,
2.9689830508474575,2.115855412158852,,,0.9568119609409216,,
3.0086440677966104,2.1538235416633325,,,0.9578029406656512,,
3.048305084745763,2.1918302894862296,,,0.9587601612871488,,
3.0879661016949154,2.229874347677296,,,0.9596851408495368,,
3.127627118644068,2.267954466760396,,,0.9605793129087914,,
3.1672881355932203,2.3060694524978578,,,0.9614440321183579,,
3.2069491525423732,2.344218162867412,,,0.96228057938837,,
3.2466101694915257,2.382399505235783,,,0.9630901666619351,,
3.286271186440678,2.4206124337144943,,,0.9638739413277797,,
3.3259322033898306,2.4588559466834776,,,0.9646329903056987,,
3.365593220338983,2.4971290844709464,,,0.9653683438369498,,
3.405254237288136,2.5354309271776634,,,0.9660809790063212,,
3.444915254237288,2.573760592636194,,,0.9667718229880151,,
3.484576271186441,2.6121172344926444,,,0.9674417560856199,,
3.5242372881355934,2.6505000404070533,,,0.9680916145652176,,
3.563898305084746,2.6889082303598517,,,0.9687221932315211,,
3.6035593220338984,2.727341055056604,,,0.9693342479317479,,
3.643220338983051,2.7657977944330816,,,0.969928497796289,,
3.682881355932204,2.8042777562377337,,,0.9705056273389445,,
3.7225423728813563,2.8427802747033573,,,0.9710662884822199,,
3.7622033898305087,2.8813047092902213,,,0.9716111023777856,,
3.801864406779661,2.9198504435021375,,,0.9721406611353771,,
3.8415254237288137,2.958416883766722,,,0.9726555294539736,,
3.8811864406779666,2.99700345838086,,,0.9731562461223078,,
3.9208474576271186,3.0356096165099835,,,0.9736433254216976,,
3.9605084745762715,3.074234827244818,,,0.9741172584738393,,
4.0001694915254244,3.1128785787075697,,,0.9745785144720429,,
4.0398305084745765,3.151540377206329,,,0.9750275418396868,,
4.079491525423729,3.190219746433158,,,0.9754647693421603,,
4.119152542372881,3.2289162267066907,,,0.9758906071062299,,
4.158813559322034,3.2676293742510745,,,0.9763054475609962,,
4.198474576271186,3.3063587605132247,,,0.9767096663879329,,
4.238135593220339,3.3451039715170996,,,0.977103623350466,,
