M_BH_Msun,r_s_cm,r_t_cm,r_t/r_s,r_t/r_ISCO(a=0),r_t/R_star,a_min/R_star,dv_debris_km_s,t_fallback_min_hr,t_fallback_min_day,Mdot_peak_Msun_yr,Mdot_peak/Mdot_Edd(eta=0.1),L_Edd_erg_s,GR_apsidal_deg_per_orbit
10.0,2954007.736491099,149884021385.51816,50739.21084700916,16913.070282336386,2.154434690031884,2.32079441680639,906.7387628590446,3.1078057068252374,0.12949190445105155,940.2132165414401,4235570383.948764,1.2573876849502885e+39,0.005321328327594894
20.0,5908015.472982198,188842033586.50763,31963.699900600557,10654.566633533519,2.7144176165949063,3.6840314986403855,1017.7798490402704,4.39510097981275,0.1831292074921979,664.8311411776685,1497500270.3415406,2.514775369900577e+39,0.008447082185092316
30.0,8862023.209473297,216170165439.20993,24392.86834727865,8130.95611575955,3.1072325059538586,4.827446923028147,1088.936089007997,5.382877384273813,0.22428655767807557,542.8323536658447,815135900.4481422,3.772163054850866e+39,0.011068808971377984
50.0,14770038.682455495,256298071360.41168,17352.566020348604,5784.188673449535,3.6840314986403864,6.786044041487266,1185.7064513260248,6.949264821323008,0.2895527008884587,420.4761331060782,378840932.07977307,6.286938424751441e+39,0.015559658420742077
100.0,29540077.36491099,322915335154.441,10931.431599363856,3643.810533121285,4.641588833612778,10.772173450159414,1330.9104920490477,9.827744558837237,0.4094893566182182,297.3215250464054,133940496.03231996,1.2573876849502882e+40,0.02469941814535183
300.0,88620232.09473297,465724503372.1653,5255.2841756757825,1751.7613918919276,6.694329500821694,22.40702373278582,1598.3395939331788,17.022152899714683,0.7092563708214451,171.65866252141217,25776860.47988397,3.772163054850865e+40,0.05137686012294101
1000.0,295400773.64910996,695699999999.9999,2355.10554493802,785.0351816460067,9.999999999999998,49.99999999999998,1953.5094455001201,31.07805706825234,1.294919044510514,94.0213216541441,4235570.383948768,1.2573876849502886e+41,0.11464454346019794
10000.0,2954007736.4910994,1498840213855.1812,507.39210847009144,169.1307028233638,21.544346900318832,232.07944168063887,2867.359733397872,98.27744558837237,4.094893566182182,29.73215250464054,133940.49603231993,1.2573876849502886e+42,0.5321328327594897
100000.0,29540077364.91099,3229153351544.4097,109.31431599363854,36.438105331212846,46.41588833612778,1077.2173450159414,4208.708516690409,310.7805706825235,12.949190445105145,9.402132165414407,4235.570383948767,1.2573876849502884e+43,2.4699418145351837
1000000.0,295400773649.1099,6956999999999.998,23.551055449380204,7.850351816460068,99.99999999999997,4999.999999999997,6177.539278432949,982.7744558837236,40.94893566182182,2.973215250464054,133.94049603231994,1.2573876849502886e+44,11.464454346019794
10000000.0,2954007736491.0996,14988402138551.81,5.073921084700913,1.6913070282336378,215.4434690031883,23207.94416806388,9067.387628590452,3107.8057068252338,129.4919044510514,0.9402132165414412,4.235570383948768,1.2573876849502887e+45,53.213283275948974
100000000.0,29540077364910.99,32291533515444.09,1.0931431599363854,0.3643810533121285,464.15888336127773,107721.73450159411,13309.104920490478,9827.744558837234,409.4893566182181,0.29732152504640547,0.13394049603231997,1.2573876849502885e+46,246.99418145351837
114300000.0,33764308428093.266,33762718942296.438,0.9999529240825349,0.33331764136084496,485.30572002725944,117760.82094558835,13608.906194229963,10506.957487256797,437.7898953023666,0.2781014393123702,0.10960807673628027,1.43719412389818e+46,270.01271109610207
