a_star,r_horizon_over_M,r_horizon_over_rs,r_ph_pro_over_M,r_ph_retro_over_M,r_mb_pro_over_M,r_isco_pro_over_M,r_isco_retro_over_M,E_isco,L_isco_over_M,Omega_isco_M,efficiency_eta,f_isco_Hz_M50,P_isco_ms_M50,b_crit_pro_over_M,b_crit_retro_over_M,gamma_eq_pro,gamma_eq_retro,demag_pro,demag_retro,delay_half_orbit_over_M,delay_half_orbit_ms_M50,shadow_Rareal_i90_over_M,shadow_width_i90_over_M,shadow_height_i90_over_M,shadow_dx_i90_over_M,shadow_Rareal_i60_over_M,shadow_Rareal_i30_over_M,shadow_R_i0_over_M
0.0,2.0,1.0,2.9999999988452997,3.000000001154701,3.999999998,6.0,6.0,0.9428090415499883,3.464101614194945,0.06804138173934754,0.05719095845001165,43.97174760910096,22.74187528068653,5.196152422706632,5.196152422706632,3.1415958852121886,3.1415917489709,0.043213778612931845,0.04321395735591684,16.32419426554159,4.020233553599721,5.1961524225997975,10.392304845413264,10.392304845413264,0.0,5.1961524225997975,5.1961524225997975,5.196152422706632
0.1,1.9949874371066199,0.9974937185533099,2.88219372844361,3.113348589668769,3.7973665961010274,5.669302571208653,6.322894723789447,0.9393655520586083,3.367109920810611,0.07353601937763848,0.06063444794139172,47.52265755916561,21.042594235286657,4.993107455767287,5.3934050767930914,3.0163599950258617,3.258650440156611,0.04897917873141714,0.038440240432320735,15.686309701623028,3.8631388213591245,5.194705092431013,10.386512532560378,10.392304845412344,0.20014881051290212,5.19304498758859,5.190590327578557,5.193260576731686
0.2,1.9797958971132712,0.9898979485566356,2.759193090270021,3.2228139480797253,3.5888543819998318,5.329443296434935,6.639040203567555,0.9353655759711852,3.264028637021793,0.07997867629582,0.06463442402881481,51.68622503378789,19.34751472653088,4.783245710621753,5.585659247735371,2.8813937268726963,3.368735207668817,0.0560565808015348,0.034433160611202523,15.027009584804244,3.7007699835217767,5.187997368150276,10.368880972987762,10.39230484541246,0.4012187612414895,5.186559960502713,5.182890238386222,5.184523118694789
0.3,1.9539392014169457,0.9769696007084728,2.630025977602088,3.328854539517434,3.3733200530681513,4.97861683057595,6.949272527004718,0.9306417139417972,3.153598281507564,0.08765244178312537,0.06935828605820282,56.64539650552315,17.653685236407444,4.565206449722225,5.773544633567623,2.7346079913959165,3.4727464263442482,0.06491945109981427,0.03103168727660265,14.342019044568115,3.532074248286092,5.182839575421778,10.338751083289846,10.392304845411436,0.604169091922699,5.177668458824357,5.170866437911374,5.169748184286494
0.4,1.9165151389911679,0.9582575694955839,2.493362573656902,3.4318433713717136,3.149193338482967,4.6143353705640235,7.254268411283808,0.9249447067862557,3.034065651040852,0.09697387495269728,0.07505529321374427,62.66937332976936,15.956757613291426,4.337115489716513,5.957570543173106,2.5730751540300085,3.5714969233211815,0.07630054834425941,0.028113738056092637,13.62545016026389,3.355601570658975,5.1720014459570525,10.294655838660168,10.392304845393289,0.8102124296135704,5.165446625521595,5.151301205034483,5.1485941783916935
0.5,1.8660254037844386,0.9330127018922193,2.3472963553338606,3.5320888862379562,2.914213562373095,4.233002529530826,7.554584714512358,0.9178820066607758,2.9028661532353772,0.10858835898027674,0.0821179933392242,70.17523442805039,14.250041459074637,4.096266658713867,6.138155724715447,2.3925425542966434,3.665589390713497,0.09139700635402745,0.02558908486926427,12.8688012421603,3.169258200850146,5.155468118203054,10.234401525478606,10.392304845381874,1.0209549619761433,5.147471192395299,5.128197834903668,5.120531191625916
0.6,1.8,0.9,2.1889140197636334,3.629849697131921,2.6649110640673515,3.829069418813151,7.850686185306578,0.9087867149047288,2.755986288640373,0.12356775474697333,0.09121328509527116,79.85566996819341,12.52259232686046,3.8384936834327834,6.315649330932341,2.186335596745418,3.75552447080977,0.1123276090345819,0.023388180973745128,12.058983556723243,2.9698207169331092,5.138172593304523,10.154110324510656,10.392304845395726,1.2385614788225447,5.123190380200443,5.095854332679415,5.084772238305858
0.7,1.7141428428542849,0.8570714214271424,2.01333412359729,3.7253452507617824,2.3954451150103324,3.3931284701816304,8.142965464834315,0.8963952722477011,2.5865003262277377,0.14387880312257215,0.1036047277522989,92.98168637199602,10.754806016307931,3.5567601661798633,6.490346039474329,1.9430102898421069,3.8416363550978496,0.14327200969601772,0.02145845894152496,11.173891608651466,2.751845098058603,5.11321761257877,10.0470720387191,10.392304845412214,1.4667758531796875,5.093214120237419,5.055157623710594,5.040149694297042
0.8,1.5999999999999999,0.7999999999999999,1.8110859802363672,3.818763716895554,2.094427190999916,2.9066438544641957,8.43175783080649,0.8778612656717933,2.3804406243507104,0.17374676398021624,0.12213873432820666,112.28385812185834,8.905999639901308,3.237297836688208,6.662497202733663,1.6397513409896805,3.9244580387798846,0.19402828317374624,0.019752839243952797,10.170271101221815,2.504678911880189,5.0786844233026835,9.89974205700758,10.392304845380716,1.712590235915527,5.053696468891969,5.006283945428372,4.98487975957087
0.9,1.4358898943540672,0.7179449471770336,1.5578546274233829,3.910267939103037,1.7324555320336759,2.320883041761887,8.717352279606489,0.8442470080055361,2.0997847561238454,0.22544170883530795,0.1557529919944639,145.69171977496714,6.863808056796792,2.844421403476169,6.832319230446666,1.216012600719683,4.004139280419036,0.2964097175860247,0.018239982013853413,8.936013384874304,2.2007126514734607,5.031913940673725,9.67668703698838,10.39230484540194,1.993937384630514,4.9997121962716315,4.9399824354442305,4.916063380228344
